#,Fase,Categoría,Servicio,¿Sonia lo hace?,Precio (USD),Notas
28,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.2 Consultoría Pre-Arrivo,Checklist de documentos (digital),☐ Sí ☐ No,💡 Lead magnet,
29,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.2 Consultoría Pre-Arrivo,Orientación laboral / trabajo remoto,☐ Sí ☐ No,💡,
30,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.2 Consultoría Pre-Arrivo,Consulta para pareja/cónyuge,☐ Sí ☐ No,💡,
31,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.3 Logística Pre-Arrivo,Ayuda con reserva de vuelos,☐ Sí ☐ No,🟡 PREGUNTA,
32,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.3 Logística Pre-Arrivo,Reserva de alojamiento temporal (Airbnb),☐ Sí ☐ No,✅ Lo hace,
33,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.3 Logística Pre-Arrivo,Coordinación de mudanza de mascotas,☐ Sí ☐ No,💡 Demanda creciente,
34,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.3 Logística Pre-Arrivo,Coordinación de envío internacional (mudanza),☐ Sí ☐ No,💡,
35,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.3 Logística Pre-Arrivo,Redirección de correo (forwarding),☐ Sí ☐ No,💡,
36,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.3 Logística Pre-Arrivo,Análisis de seguro de viaje,☐ Sí ☐ No,💡,
37,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.3 Logística Pre-Arrivo,Verificación de vacunas requeridas,☐ Sí ☐ No,💡,
38,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.3 Logística Pre-Arrivo,Asesoría de cambio de divisas,☐ Sí ☐ No,💡 USD/PYG,
39,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.3 Logística Pre-Arrivo,Transferencia bancaria internacional,☐ Sí ☐ No,🟡 PREGUNTA,
40,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.3 Logística Pre-Arrivo,SIM card prepaga activa al llegar,☐ Sí ☐ No,💡,
41,FASE 1 — LLEGADA & PRIMERA SEMANA,1.1 Aeropuerto & Transporte,Recogida en aeropuerto,☐ Sí ☐ No,$________,🟡 PREGUNTA — ¿incluido?
42,FASE 1 — LLEGADA & PRIMERA SEMANA,1.1 Aeropuerto & Transporte,Briefing de bienvenida (primeras 24h),☐ Sí ☐ No,$________,
43,FASE 1 — LLEGADA & PRIMERA SEMANA,1.1 Aeropuerto & Transporte,Activación de chip local (Day 1),☐ Sí ☐ No,$________,
44,FASE 1 — LLEGADA & PRIMERA SEMANA,1.1 Aeropuerto & Transporte,Check-in en alojamiento temporal,☐ Sí ☐ No,$________,
45,FASE 1 — LLEGADA & PRIMERA SEMANA,1.1 Aeropuerto & Transporte,Tour de orientación del barrio,☐ Sí ☐ No,$________,
46,FASE 1 — LLEGADA & PRIMERA SEMANA,1.1 Aeropuerto & Transporte,Gestión de transporte (alquiler auto / chofer),☐ Sí ☐ No,$________,💡 Comisión?
47,FASE 1 — LLEGADA & PRIMERA SEMANA,1.1 Aeropuerto & Transporte,Configuración de maps y navegación,☐ Sí ☐ No,$________,💡
48,FASE 1 — LLEGADA & PRIMERA SEMANA,1.1 Aeropuerto & Transporte,Servicio de compras / supermercado,☐ Sí ☐ No,$________,💡
49,FASE 1 — LLEGADA & PRIMERA SEMANA,1.1 Aeropuerto & Transporte,Referencia de servicio de comidas,☐ Sí ☐ No,$________,💡
50,FASE 1 — LLEGADA & PRIMERA SEMANA,1.1 Aeropuerto & Transporte,Briefing de contactos de emergencia,☐ Sí ☐ No,$________,"💡 Hospital, policía, embajada"
51,FASE 1 — LLEGADA & PRIMERA SEMANA,1.2 Identificación & Registro,Solicitud de residencia,☐ Sí ☐ No,✅ Core service,
52,FASE 1 — LLEGADA & PRIMERA SEMANA,1.2 Identificación & Registro,Cédula de Identidad (provisional),☐ Sí ☐ No,✅,
53,FASE 1 — LLEGADA & PRIMERA SEMANA,1.2 Identificación & Registro,"Cédula de Identidad (permanente, 2 años)",☐ Sí ☐ No,✅,
54,FASE 1 — LLEGADA & PRIMERA SEMANA,1.2 Identificación & Registro,Registro RUC (contribuyente),☐ Sí ☐ No,✅ Para Business,
55,FASE 1 — LLEGADA & PRIMERA SEMANA,1.2 Identificación & Registro,Cita de huellas dactilares,☐ Sí ☐ No,,
56,FASE 1 — LLEGADA & PRIMERA SEMANA,1.2 Identificación & Registro,Antecedentes policiales (Paraguay),☐ Sí ☐ No,,
57,FASE 1 — LLEGADA & PRIMERA SEMANA,1.2 Identificación & Registro,Solicitud en Migraciones,☐ Sí ☐ No,✅,
58,FASE 1 — LLEGADA & PRIMERA SEMANA,1.2 Identificación & Registro,Registro de extranjero (Mercosur),☐ Sí ☐ No,💡,
59,FASE 1 — LLEGADA & PRIMERA SEMANA,1.2 Identificación & Registro,Registro consular (país de origen),☐ Sí ☐ No,💡,
60,FASE 1 — LLEGADA & PRIMERA SEMANA,1.2 Identificación & Registro,Configuración de identidad digital,☐ Sí ☐ No,💡,
61,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Apertura de cuenta bancaria (personal),☐ Sí ☐ No,$________,✅
62,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Apertura de cuenta bancaria (empresa),☐ Sí ☐ No,$________,✅
63,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Introducción y relación con banco,☐ Sí ☐ No,$________,✅ Valor clave
64,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Configuración de banca online,☐ Sí ☐ No,$________,
65,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Transferencia internacional (SWIFT),☐ Sí ☐ No,$________,🟡 PREGUNTA
66,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Cuenta de cambio de divisas,☐ Sí ☐ No,$________,💡
67,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Solicitud de tarjeta de crédito,☐ Sí ☐ No,$________,🟡 PREGUNTA
68,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Emisión de tarjeta de débito,☐ Sí ☐ No,$________,✅ Implícito
69,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Caja de seguridad (banco),☐ Sí ☐ No,$________,💡
70,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Apertura de cuenta de inversión,☐ Sí ☐ No,$________,💡
71,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,"Cuenta de crypto local (X4T, Ueno)",☐ Sí ☐ No,$________,💡
72,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Cuenta multi-moneda,☐ Sí ☐ No,$________,💡
73,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Establecimiento de historial crediticio,☐ Sí ☐ No,$________,🟡 PREGUNTA
74,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,Pre-aprobación hipotecaria,☐ Sí ☐ No,$________,💡
75,FASE 1 — LLEGADA & PRIMERA SEMANA,1.3 Bancos & Finanzas,"Seguros (hogar, auto, salud)",☐ Sí ☐ No,$________,🟡 PREGUNTA
76,FASE 1 — LLEGADA & PRIMERA SEMANA,1.4 Bienes Raíces — Alquiler,Alquiler temporal (1-3 meses),☐ Sí ☐ No,$________,✅
77,FASE 1 — LLEGADA & PRIMERA SEMANA,1.4 Bienes Raíces — Alquiler,Alquiler largo plazo (12+ meses),☐ Sí ☐ No,$________,✅
78,FASE 1 — LLEGADA & PRIMERA SEMANA,1.4 Bienes Raíces — Alquiler,Búsqueda de barrios,☐ Sí ☐ No,$________,✅
79,FASE 1 — LLEGADA & PRIMERA SEMANA,1.4 Bienes Raíces — Alquiler,Revisión de contrato de alquiler,☐ Sí ☐ No,$________,✅
80,FASE 1 — LLEGADA & PRIMERA SEMANA,1.4 Bienes Raíces — Alquiler,Gestión de depósito de garantía,☐ Sí ☐ No,$________,💡 Escrow
81,FASE 1 — LLEGADA & PRIMERA SEMANA,1.4 Bienes Raíces — Alquiler,Conexión de agua (ESSAP),☐ Sí ☐ No,$________,🟡 PREGUNTA
82,FASE 1 — LLEGADA & PRIMERA SEMANA,1.4 Bienes Raíces — Alquiler,Conexión de luz (ANDE),☐ Sí ☐ No,$________,🟡 PREGUNTA
83,FASE 1 — LLEGADA & PRIMERA SEMANA,1.4 Bienes Raíces — Alquiler,Instalación de internet,☐ Sí ☐ No,$________,🟡 PREGUNTA
84,FASE 1 — LLEGADA & PRIMERA SEMANA,1.4 Bienes Raíces — Alquiler,Servicio de gas,☐ Sí ☐ No,$________,💡
85,FASE 1 — LLEGADA & PRIMERA SEMANA,1.4 Bienes Raíces — Alquiler,Paquete de muebles para alquiler,☐ Sí ☐ No,$________,💡
86,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Búsqueda de propiedad (compra),☐ Sí ☐ No,Comisión,✅
87,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Coordinación de visitas a propiedades,☐ Sí ☐ No,Comisión,✅
88,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Verificación de título (due diligence),☐ Sí ☐ No,$________,✅ Diferenciador
89,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Verificación de zona inundable / zona roja,☐ Sí ☐ No,$________,✅ ORGULLO
90,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Auditoría anti-estafas,☐ Sí ☐ No,$________,✅ MÁXIMO VALOR
91,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Negociación de precio,☐ Sí ☐ No,Comisión,✅
92,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Coordinación notarial,☐ Sí ☐ No,$________,✅
93,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Gestión de depósito en garantía (escrow),☐ Sí ☐ No,$________,💡
94,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Registro de propiedad (Registro Público),☐ Sí ☐ No,$________,✅
95,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Verificación de impuestos prediales,☐ Sí ☐ No,$________,✅
96,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Coordinación de agrimensura,☐ Sí ☐ No,$________,💡 Para terrenos rurales
97,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Análisis de tierra agrícola,☐ Sí ☐ No,$________,🟡 PREGUNTA — programa de tierras
98,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Búsqueda de propiedad comercial,☐ Sí ☐ No,$________,💡
99,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,Inspección estructural de propiedad,☐ Sí ☐ No,$________,💡 Terceros
100,FASE 1 — LLEGADA & PRIMERA SEMANA,1.5 Bienes Raíces — Compra,"Seguro de propiedad (incendio, robo)",☐ Sí ☐ No,$________,💡
101,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Investigación y selección de colegios,☐ Sí ☐ No,✅ Lo hace,
102,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Inscripción en colegio (trámites),☐ Sí ☐ No,🟡 PREGUNTA,
103,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Tour de colegios (visitas físicas),☐ Sí ☐ No,🟡 PREGUNTA,
104,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Solicitud a colegios internacionales,☐ Sí ☐ No,"💡 St. Mary's, etc.",
105,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Orientación universitaria (hijos mayores),☐ Sí ☐ No,💡,
106,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Referencia de niñera / cuidado de niños,☐ Sí ☐ No,💡,
107,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Referencia de pediatra,☐ Sí ☐ No,💡,
108,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Documentos legales familiares (tutela),☐ Sí ☐ No,💡,
109,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Orientación laboral para cónyuge,☐ Sí ☐ No,💡 Permiso automático,
110,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,"Inscripción en actividades (deportes, arte)",☐ Sí ☐ No,✅ Mencionado,
111,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Compra de útiles / uniformes escolares,☐ Sí ☐ No,💡,
112,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Inscripción en programas extraescolares,☐ Sí ☐ No,💡,
113,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Inscripción en campamento de verano,☐ Sí ☐ No,💡,
114,FASE 2 — POST-LLEGADA (Semanas 2-12),2.1 Servicios Familiares,Programas de integración para adolescentes,☐ Sí ☐ No,💡,
115,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Afiliación a seguro de salud (local),☐ Sí ☐ No,✅ Mencionado,
116,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Seguro de salud internacional,☐ Sí ☐ No,"💡 Cigna, Allianz",
117,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Referencia de médico general,☐ Sí ☐ No,💡 Hospital Bautista,
118,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Referencia de especialista,☐ Sí ☐ No,🟡 PREGUNTA,
119,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Referencia de dentista,☐ Sí ☐ No,💡 Más barato que UE,
120,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Registro en hospital (pre-emergencia),☐ Sí ☐ No,💡,
121,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Orientación de farmacias,☐ Sí ☐ No,💡,
122,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Acompañamiento médico (traducción),☐ Sí ☐ No,💡 Para no hispanohablantes,
123,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Alineación de calendario de vacunas,☐ Sí ☐ No,💡,
124,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Briefing de números de emergencia,☐ Sí ☐ No,"💡 911, ambulancia",
125,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Referencia de terapia / counseling,☐ Sí ☐ No,💡 Salud mental,
126,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Referencia de óptica,☐ Sí ☐ No,💡,
127,FASE 2 — POST-LLEGADA (Semanas 2-12),2.2 Salud,Coordinación de análisis de laboratorio,☐ Sí ☐ No,💡,
128,FASE 2 — POST-LLEGADA (Semanas 2-12),2.3 Transporte,Asistencia en compra de vehículo,☐ Sí ☐ No,✅ Comisión del vendedor,
129,FASE 2 — POST-LLEGADA (Semanas 2-12),2.3 Transporte,Orientación para licencia de conducir,☐ Sí ☐ No,✅ Mencionado,
130,FASE 2 — POST-LLEGADA (Semanas 2-12),2.3 Transporte,Traducción de licencia de conducir,☐ Sí ☐ No,💡 Permiso internacional,
131,FASE 2 — POST-LLEGADA (Semanas 2-12),2.3 Transporte,Preparación para examen de conducir PY,☐ Sí ☐ No,💡,
132,FASE 2 — POST-LLEGADA (Semanas 2-12),2.3 Transporte,Importación de vehículo (desde UE),☐ Sí ☐ No,💡,
133,FASE 2 — POST-LLEGADA (Semanas 2-12),2.3 Transporte,Seguro de vehículo,☐ Sí ☐ No,💡 Requerido en PY,
134,FASE 2 — POST-LLEGADA (Semanas 2-12),2.3 Transporte,Referencia de chofer / conductor,☐ Sí ☐ No,✅ Carlos,
135,FASE 2 — POST-LLEGADA (Semanas 2-12),2.3 Transporte,Orientación de transporte público,☐ Sí ☐ No,"💡 Buses, ride-sharing",
136,FASE 2 — POST-LLEGADA (Semanas 2-12),2.3 Transporte,Compra de bicicleta / monopatín,☐ Sí ☐ No,💡,
137,FASE 2 — POST-LLEGADA (Semanas 2-12),2.3 Transporte,Registro de vehículo (patente),☐ Sí ☐ No,💡,
138,FASE 2 — POST-LLEGADA (Semanas 2-12),2.3 Transporte,Orientación de estacionamiento / peajes,☐ Sí ☐ No,💡 Apps móviles,
139,FASE 2 — POST-LLEGADA (Semanas 2-12),2.4 Setup del Hogar,Compra de muebles (asistencia),☐ Sí ☐ No,✅ Comisión,
140,FASE 2 — POST-LLEGADA (Semanas 2-12),2.4 Setup del Hogar,Compra de electrodomésticos,☐ Sí ☐ No,✅ Comisión,
141,FASE 2 — POST-LLEGADA (Semanas 2-12),2.4 Setup del Hogar,Contratación de personal doméstico,☐ Sí ☐ No,💡,
142,FASE 2 — POST-LLEGADA (Semanas 2-12),2.4 Setup del Hogar,Instalación de sistema de seguridad,☐ Sí ☐ No,💡,
143,FASE 2 — POST-LLEGADA (Semanas 2-12),2.4 Setup del Hogar,Seguro de hogar,☐ Sí ☐ No,💡,
144,FASE 2 — POST-LLEGADA (Semanas 2-12),2.4 Setup del Hogar,Orientación de reciclaje / basura,☐ Sí ☐ No,💡,
145,FASE 2 — POST-LLEGADA (Semanas 2-12),2.4 Setup del Hogar,Referencia de mantenimiento de piscina,☐ Sí ☐ No,💡 Muchas casas tienen,
146,FASE 2 — POST-LLEGADA (Semanas 2-12),2.4 Setup del Hogar,Referencia de jardinero,☐ Sí ☐ No,💡,
147,FASE 2 — POST-LLEGADA (Semanas 2-12),2.4 Setup del Hogar,Referencia de control de plagas,☐ Sí ☐ No,"💡 Termitas, mosquitos",
148,FASE 2 — POST-LLEGADA (Semanas 2-12),2.4 Setup del Hogar,Referencia de cerrajero,☐ Sí ☐ No,💡,
149,FASE 2 — POST-LLEGADA (Semanas 2-12),2.4 Setup del Hogar,Referencia de mantero / reparaciones,☐ Sí ☐ No,💡,
150,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Creación de empresa (EAS),☐ Sí ☐ No,✅,
151,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Creación de empresa (SA),☐ Sí ☐ No,✅,
152,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Estructura legal para trabajo remoto,☐ Sí ☐ No,✅ Aconseja,
153,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Introducción a estudio contable,☐ Sí ☐ No,✅ Comisión,
154,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Introducción a estudio jurídico,☐ Sí ☐ No,✅ Comisión,
155,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Setup de facturación electrónica,☐ Sí ☐ No,💡,
156,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Setup de nómina local (empleados),☐ Sí ☐ No,💡,
157,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Licencia municipal de negocio,☐ Sí ☐ No,💡,
158,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Registro de importación/exportación,☐ Sí ☐ No,💡,
159,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Registro de propiedad intelectual,☐ Sí ☐ No,💡 Marcas en PY,
160,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Seguro empresarial,☐ Sí ☐ No,💡,
161,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Cuenta bancaria corporativa,☐ Sí ☐ No,✅,
162,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,"Onboarding de empleados (ESS, IPS)",☐ Sí ☐ No,💡,
163,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Referencia de coworking,☐ Sí ☐ No,💡 Para nómadas digitales,
164,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Búsqueda de oficina comercial,☐ Sí ☐ No,💡,
165,FASE 2 — POST-LLEGADA (Semanas 2-12),2.5 Negocios & Profesional,Introducción a socios de negocio locales,☐ Sí ☐ No,💡,
166,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.1 Impuestos & Compliance,Declaración de impuestos anual (personal),☐ Sí ☐ No,🟡 Deriva a contador,
167,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.1 Impuestos & Compliance,Declaración de impuestos anual (empresa),☐ Sí ☐ No,🟡 Deriva a contador,
168,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.1 Impuestos & Compliance,Cumplimiento mensual de RUC,☐ Sí ☐ No,💡,
169,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.1 Impuestos & Compliance,Declaración trimestral de IVA,☐ Sí ☐ No,💡 Contador,
170,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.1 Impuestos & Compliance,Certificado de residencia fiscal,☐ Sí ☐ No,💡 Para salir de NL,
171,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.1 Impuestos & Compliance,Asesoría de tratado de doble imposición,☐ Sí ☐ No,🟡 Puede no saber,
172,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.1 Impuestos & Compliance,Revisión de optimización fiscal,☐ Sí ☐ No,🟡,
173,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.1 Impuestos & Compliance,Orientación de impuestos crypto,☐ Sí ☐ No,💡 0% en PY,
174,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.1 Impuestos & Compliance,Cumplimiento SEPRELAD,☐ Sí ☐ No,❓ PENDIENTE,
175,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.1 Impuestos & Compliance,Filing AML/KYC,☐ Sí ☐ No,❓ PENDIENTE,
176,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.1 Impuestos & Compliance,Declaración de patrimonio anual,☐ Sí ☐ No,💡,
177,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.2 Camino a Residencia Permanente,Temporal → Permanente (Año 2),☐ Sí ☐ No,✅ Mencionado,
178,FASE 3 — SOPORTE CONTINUO (Meses 3-12),3.2 Camino a Residencia Permanente,Solicitud de ciudadanía (Año 3),☐ Sí ☐ No,💡,
